hash,name,psk_byte,psk_label
0x00,(empty),0,(none)
0x00,(empty),3,0x03
0x00,LiteFast,23,0x17
0x00,LiteSlow,16,0x10
0x00,LongFast,9,0x09
0x00,LongMod,111,0x6f
0x00,LongSlow,14,0x0e
0x00,LongTurbo,119,0x77
0x00,MediumFast,30,0x1e
0x00,MediumSlow,25,0x19
0x00,NarrowFast,20,0x14
0x00,NarrowSlow,19,0x13
0x00,ShortFast,113,0x71
0x00,ShortSlow,118,0x76
0x00,ShortTurbo,15,0x0f
0x00,TinyFast,9,0x09
0x00,TinySlow,14,0x0e
0x00,VLongSlow,88,0x58
0x01,(empty),2,0x02
0x01,LiteFast,22,0x16
0x01,LiteSlow,17,0x11
0x01,LongFast,8,0x08
0x01,LongMod,110,0x6e
0x01,LongSlow,15,0x0f
0x01,LongTurbo,118,0x76
0x01,MediumFast,31,0x1f
0x01,MediumSlow,24,0x18
0x01,NarrowFast,21,0x15
0x01,NarrowSlow,18,0x12
0x01,ShortFast,112,0x70
0x01,ShortSlow,119,0x77
0x01,ShortTurbo,14,0x0e
0x01,TinyFast,8,0x08
0x01,TinySlow,15,0x0f
0x01,VLongSlow,89,0x59
0x02,(empty),1,AQ==
0x02,LiteFast,21,0x15
0x02,LiteSlow,18,0x12
0x02,LongFast,11,0x0b
0x02,LongMod,109,0x6d
0x02,LongSlow,12,0x0c
0x02,LongTurbo,117,0x75
0x02,MediumFast,28,0x1c
0x02,MediumSlow,27,0x1b
0x02,NarrowFast,22,0x16
0x02,NarrowSlow,17,0x11
0x02,ShortFast,115,0x73
0x02,ShortSlow,116,0x74
0x02,ShortTurbo,13,0x0d
0x02,TinyFast,11,0x0b
0x02,TinySlow,12,0x0c
0x02,VLongSlow,90,0x5a
0x03,LiteFast,20,0x14
0x03,LiteSlow,19,0x13
0x03,LongFast,10,0x0a
0x03,LongMod,108,0x6c
0x03,LongSlow,13,0x0d
0x03,LongTurbo,116,0x74
0x03,MediumFast,29,0x1d
0x03,MediumSlow,26,0x1a
0x03,NarrowFast,23,0x17
0x03,NarrowSlow,16,0x10
0x03,ShortFast,114,0x72
0x03,ShortSlow,117,0x75
0x03,ShortTurbo,12,0x0c
0x03,TinyFast,10,0x0a
0x03,TinySlow,13,0x0d
0x03,VLongSlow,91,0x5b
0x04,(empty),7,0x07
0x04,LiteFast,19,0x13
0x04,LiteSlow,20,0x14
0x04,LongFast,13,0x0d
0x04,LongMod,107,0x6b
0x04,LongSlow,10,0x0a
0x04,LongTurbo,115,0x73
0x04,MediumFast,26,0x1a
0x04,MediumSlow,29,0x1d
0x04,NarrowFast,16,0x10
0x04,NarrowSlow,23,0x17
0x04,ShortFast,117,0x75
0x04,ShortSlow,114,0x72
0x04,ShortTurbo,11,0x0b
0x04,TinyFast,13,0x0d
0x04,TinySlow,10,0x0a
0x04,VLongSlow,92,0x5c
0x05,(empty),6,0x06
0x05,LiteFast,18,0x12
0x05,LiteSlow,21,0x15
0x05,LongFast,12,0x0c
0x05,LongMod,106,0x6a
0x05,LongSlow,11,0x0b
0x05,LongTurbo,114,0x72
0x05,MediumFast,27,0x1b
0x05,MediumSlow,28,0x1c
0x05,NarrowFast,17,0x11
0x05,NarrowSlow,22,0x16
0x05,ShortFast,116,0x74
0x05,ShortSlow,115,0x73
0x05,ShortTurbo,10,0x0a
0x05,TinyFast,12,0x0c
0x05,TinySlow,11,0x0b
0x05,VLongSlow,93,0x5d
0x06,(empty),5,0x05
0x06,LiteFast,17,0x11
0x06,LiteSlow,22,0x16
0x06,LongFast,15,0x0f
0x06,LongMod,105,0x69
0x06,LongSlow,8,0x08
0x06,LongTurbo,113,0x71
0x06,MediumFast,24,0x18
0x06,MediumSlow,31,0x1f
0x06,NarrowFast,18,0x12
0x06,NarrowSlow,21,0x15
0x06,ShortFast,119,0x77
0x06,ShortSlow,112,0x70
0x06,ShortTurbo,9,0x09
0x06,TinyFast,15,0x0f
0x06,TinySlow,8,0x08
0x06,VLongSlow,94,0x5e
0x07,(empty),4,0x04
0x07,LiteFast,16,0x10
0x07,LiteSlow,23,0x17
0x07,LongFast,14,0x0e
0x07,LongMod,104,0x68
0x07,LongSlow,9,0x09
0x07,LongTurbo,112,0x70
